,stock,day,open,close,high,low,volume
0,VNINDEX,2017_01_03,665.92,672.01,672.34,665.43,1636585230000.0
1,VNINDEX,2017_01_04,672.58,674.7,675.93,672.21,1794373060000.0
2,VNINDEX,2017_01_05,674.82,675.81,675.92,673.31,1779779490000.0
3,VNINDEX,2017_01_06,675.35,679.8,683.76,675.22,2300455560000.0
4,VNINDEX,2017_01_09,681.74,682.57,684.88,681.74,1959371370000.0
5,VNINDEX,2017_01_10,682.77,681.07,683.02,680.76,1673501400000.0
6,VNINDEX,2017_01_11,680.85,687.16,687.16,680.85,1897179200000.0
7,VNINDEX,2017_01_12,688.71,686.96,688.99,685.59,1821792390000.0
8,VNINDEX,2017_01_13,686.58,685.06,688.62,685.06,1698714940000.0
9,VNINDEX,2017_01_16,684.62,677.94,684.82,677.85,1688853690000.0
10,VNINDEX,2017_01_17,678.83,684.71,684.73,678.83,1765724770000.0
11,VNINDEX,2017_01_18,683.74,683.28,687.76,683.28,1624130710000.0
12,VNINDEX,2017_01_19,683.02,682.31,684.19,680.8,1542769550000.0
13,VNINDEX,2017_01_20,684.56,686.26,688.42,684.37,1770082320000.0
14,VNINDEX,2017_01_23,687.83,687.15,689.47,686.46,1640176760000.0
15,VNINDEX,2017_01_24,687.08,691.36,692.45,687.08,1496003280000.0
16,VNINDEX,2017_01_25,693.07,697.28,697.28,691.19,1692999190000.0
17,VNINDEX,2017_02_02,699.91,703.18,703.2,697.71,1751194840000.0
18,VNINDEX,2017_02_03,704.69,700.35,708.1,700.09,2279493110000.0
19,VNINDEX,2017_02_06,702.02,700.04,702.02,696.92,2219620240000.0
20,VNINDEX,2017_02_07,699.99,701.91,703.3,698.99,2823166920000.0
21,VNINDEX,2017_02_08,702.67,702.04,702.77,700.47,2189255820000.0
22,VNINDEX,2017_02_09,700.93,700.65,702.64,700.26,2794406870000.0
23,VNINDEX,2017_02_10,701.15,703.78,704.08,701.15,2705209450000.0
24,VNINDEX,2017_02_13,704.61,705.9,706.47,703.58,2626144400000.0
25,VNINDEX,2017_02_14,706.41,706.26,707.32,703.85,2977582910000.0
26,VNINDEX,2017_02_15,706.84,711.57,711.73,706.84,2863498030000.0
27,VNINDEX,2017_02_16,712.61,709.35,717.57,709.35,3404325500000.0
28,VNINDEX,2017_02_17,709.52,707.83,710.21,705.84,3183070630000.0
29,VNINDEX,2017_02_20,705.72,710.59,711.4,704.41,3550870890000.0
30,VNINDEX,2017_02_21,711.49,716.55,718.06,711.49,3340429990000.0
31,VNINDEX,2017_02_22,717.77,717.24,719.09,715.36,3608337440000.0
32,VNINDEX,2017_02_23,717.49,716.87,719.58,712.36,3437331690000.0
33,VNINDEX,2017_02_24,716.35,714.47,717.94,713.7,3570625030000.0
34,VNINDEX,2017_02_27,711.7,717.44,718.37,711.7,3041680340000.0
35,VNINDEX,2017_02_28,718.24,710.79,719.14,710.79,3078764810000.0
36,VNINDEX,2017_03_01,711.46,709.52,712.49,705.79,3338854620000.0
37,VNINDEX,2017_03_02,712.68,707.51,713.53,707.51,2845980330000.0
38,VNINDEX,2017_03_03,708.23,712.62,712.62,705.83,2961748260000.0
39,VNINDEX,2017_03_06,714.61,716.29,718.04,714.01,3076926740000.0
40,VNINDEX,2017_03_07,716.46,716.54,716.95,714.27,3265400750000.0
41,VNINDEX,2017_03_08,715.04,716.6,718.78,713.89,3248874900000.0
42,VNINDEX,2017_03_09,715.86,715.8,718.23,714.96,3396564150000.0
43,VNINDEX,2017_03_10,715.85,712.21,716.81,712.21,3256444930000.0
44,VNINDEX,2017_03_13,711.93,710.17,712.63,707.63,2823733210000.0
45,VNINDEX,2017_03_14,709.9,714.71,716.49,709.29,2874594120000.0
46,VNINDEX,2017_03_15,715.63,713.14,716.49,713.14,3157338570000.0
47,VNINDEX,2017_03_16,712.56,714.92,715.03,710.66,3439755850000.0
48,VNINDEX,2017_03_17,715.82,710.54,717.1,710.54,4346501330000.0
49,VNINDEX,2017_03_20,711.44,715.07,717.54,711.44,3421791080000.0
50,VNINDEX,2017_03_21,717.03,716.18,718.8,714.78,3825748880000.0
51,VNINDEX,2017_03_22,715.78,712.94,720.68,712.94,4267260610000.0
52,VNINDEX,2017_03_23,712.61,719.56,719.56,712.61,3468151990000.0
